,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
0,Spain,La Liga,(BET),Juanmi Callejon,19,16,1849,11,6.62,0.34,48,20,2.47,1.03,2016
1,Spain,La Liga,(BAR),Antoine Griezmann,36,0,3129,16,11.86,0.36,88,41,2.67,1.24,2016
2,Spain,La Liga,(ATL),Luis Suarez,34,1,2940,28,23.21,0.75,120,57,3.88,1.84,2016
3,Spain,La Liga,(CAR),Ruben Castro,32,3,2842,13,14.06,0.47,117,42,3.91,1.4,2016
4,Spain,La Liga,(VAL),Kevin Gameiro,21,10,1745,13,10.65,0.58,50,23,2.72,1.25,2016
5,Spain,La Liga,(JUV),Cristiano Ronaldo,29,0,2634,25,24.68,0.89,162,60,5.84,2.16,2016
6,Spain,La Liga,(RMA),Karim Benzema,23,6,1967,11,13.25,0.64,69,34,3.33,1.64,2016
7,Spain,La Liga,(PSG),Neymar ,30,0,2694,13,13.33,0.47,105,42,3.7,1.48,2016
8,Spain,La Liga,(CEL),Iago Aspas,25,7,2354,19,13.88,0.56,78,37,3.15,1.49,2016
9,Spain,La Liga,(EIB),Sergi Enrich,31,7,2904,11,8.25,0.27,64,26,2.09,0.85,2016
10,Spain,La Liga,None,Aduriz ,27,5,2480,16,15.92,0.61,85,45,3.26,1.72,2016
11,Spain,La Liga,(HUE),Sandro Ramlrez,28,2,2340,14,7.14,0.29,93,38,3.78,1.54,2016
12,Spain,La Liga,(BAR),Lionel Messi,32,2,2910,37,26.65,0.87,179,76,5.84,2.48,2016
13,Spain,La Liga,(VIL),Gerard Moreno,37,0,3361,13,8.49,0.24,82,32,2.32,0.9,2016
14,Spain,La Liga,(JUV),Morata,14,12,1392,15,9.67,0.66,55,30,3.75,2.05,2016
15,Spain,La Liga,(MON),Wissam Ben Yedder,20,11,1735,11,7.85,0.43,44,23,2.41,1.26,2016
16,Spain,La Liga,(SOC),Willian Jose,27,1,2102,12,8.41,0.38,69,29,3.12,1.31,2016
17,Spain,La Liga,Florin,Andone ,32,5,2984,12,11.62,0.37,99,42,3.15,1.34,2016
18,Spain,La Liga,(SOC),Cedric Bakambu,17,9,1633,10,8.08,0.47,50,26,2.91,1.51,2016
19,Spain,La Liga,(RMA),Isco,18,12,1690,10,3.91,0.22,32,15,1.8,0.84,2016
100,Spain,La Liga,(GET),Angel Rodriguez,26,7,2390,13,11.82,0.47,68,31,2.7,1.23,2017
101,Spain,La Liga,(BAR),Antoine Griezmann,30,2,2596,19,15.58,0.57,72,40,2.63,1.46,2017
102,Spain,La Liga,(CEL),Iago Aspas,33,1,3053,22,19.92,0.62,94,43,2.92,1.34,2017
103,Spain,La Liga,(TOT),Gareth Bale,20,6,1872,16,12.81,0.65,77,32,3.91,1.62,2017
104,Spain,La Liga,None,Rodrigo None,31,6,2770,16,15.45,0.53,92,38,3.16,1.3,2017
105,Spain,La Liga,(ATL),Luis Suarez,32,1,3008,25,25.65,0.81,121,55,3.82,1.74,2017
106,Spain,La Liga,(LEV),Sergio Leon,23,8,2071,11,11.12,0.51,65,27,2.98,1.24,2017
107,Spain,La Liga,(BAR),Lionel Messi,32,4,3123,33,32.54,0.99,197,95,5.99,2.89,2017
108,Spain,La Liga,(VAL),Maxi Gomez,35,1,3168,18,18.01,0.54,83,37,2.49,1.11,2017
109,Spain,La Liga,(SOC),Mikel Oyarzabal,31,4,2864,12,9.35,0.31,65,32,2.16,1.06,2017
110,Spain,La Liga,(SOC),Willian Josa,32,2,2869,15,13.89,0.46,89,29,2.95,0.96,2017
111,Spain,La Liga,(TOR),Simone Zaza,23,10,2163,13,12.07,0.53,73,24,3.21,1.05,2017
112,Spain,La Liga,(JUV),Cristiano Ronaldo,27,0,2375,26,29.0,1.16,178,76,7.12,3.04,2017
113,Spain,La Liga,(SOC),Portu ,35,2,3081,11,10.7,0.33,49,25,1.51,0.77,2017
114,Spain,La Liga,(VIL),Gerard Moreno,38,0,3555,16,17.96,0.48,105,47,2.81,1.26,2017
115,Spain,La Liga,(GIR),Cristhian Stuani,32,1,2785,21,20.52,0.7,74,37,2.52,1.26,2017
116,Spain,La Liga,(VIL),Carlos Bacca,30,5,2572,15,14.35,0.53,73,34,2.7,1.26,2017
117,Spain,La Liga,(CEL),Santi Mina,17,15,1630,12,9.44,0.55,43,20,2.51,1.17,2017
118,Spain,La Liga,(LEV),Morales ,35,0,3180,10,10.71,0.32,61,25,1.82,0.75,2017
119,Spain,La Liga,(SEV),Munir ,28,5,2517,10,10.6,0.4,62,23,2.34,0.87,2017
180,Spain,La Liga,(RMA),Karim Benzema,35,1,3072,21,17.46,0.54,104,44,3.22,1.36,2018
181,Spain,La Liga,(VAL),Maxi Gomez,33,2,3148,13,12.92,0.39,82,28,2.47,0.84,2018
182,Spain,La Liga,(CEL),Iago Aspas,26,1,2369,20,12.47,0.5,69,32,2.77,1.28,2018
183,Spain,La Liga,(GET),Jaime Mata,27,7,2569,14,12.44,0.46,59,25,2.18,0.92,2018
184,Spain,La Liga,(BIL),Inaki Williams,36,2,3148,12,13.59,0.41,75,33,2.26,1.0,2018
185,Spain,La Liga,(GIR),Cristhian Stuani,30,2,2897,19,16.47,0.54,77,39,2.53,1.28,2018
186,Spain,La Liga,(OSA),Chimy Avila,20,14,2131,10,7.63,0.34,88,24,3.92,1.07,2018
187,Spain,La Liga,(ESP),Raul de Tomas,32,1,2964,14,16.22,0.52,115,47,3.69,1.51,2018
188,Spain,La Liga,(ATL),Luis Suarez,31,2,2954,21,24.88,0.8,112,58,3.6,1.87,2018
189,Spain,La Liga,(LEV),Roger ,23,8,1999,13,14.1,0.67,71,30,3.37,1.43,2018
190,Spain,La Liga,(SOC),Willian Jose,28,3,2471,12,11.7,0.45,55,26,2.11,1.0,2018
191,Spain,La Liga,(PSG),Pablo Sarabia,30,3,2877,13,11.81,0.39,75,31,2.48,1.02,2018
192,Spain,La Liga,(SOC),Mikel Oyarzabal,36,1,3300,13,11.12,0.32,66,28,1.9,0.81,2018
193,Spain,La Liga,(BAR),Antoine Griezmann,37,0,3349,15,14.45,0.41,113,45,3.21,1.28,2018
194,Spain,La Liga,(BET),Borja Iglesias,35,2,3246,17,16.4,0.48,90,38,2.63,1.11,2018
195,Spain,La Liga,(BAR),Lionel Messi,29,5,2849,36,25.49,0.85,170,87,5.67,2.9,2018
196,Spain,La Liga,(GRA),Jorge Molina,28,10,2819,14,11.28,0.38,57,23,1.92,0.78,2018
197,Spain,La Liga,None,Charles,17,17,1861,14,13.91,0.71,63,30,3.22,1.53,2018
198,Spain,La Liga,(MON),Wissam Ben Yedder,31,4,2975,18,17.22,0.55,76,36,2.43,1.15,2018
199,Spain,La Liga,(LEV),Morales ,35,2,3381,12,13.52,0.38,65,33,1.83,0.93,2018
320,Spain,La Liga,(ATL),Luis Suarez,22,6,2126,16,14.32,0.64,79,42,3.53,1.88,2019
321,Spain,La Liga,(RMA),Karim Benzema,36,1,3207,21,21.61,0.64,124,59,3.67,1.75,2019
322,Spain,La Liga,(ALA),Joselu,31,5,2990,11,13.22,0.42,87,30,2.76,0.95,2019
323,Spain,La Liga,(SEV),Carlos Fernandez,21,13,2428,10,10.48,0.41,47,19,1.84,0.74,2019
324,Spain,La Liga,(OSA),Ante Budimir,33,2,2923,13,12.31,0.4,56,22,1.82,0.72,2019
325,Spain,La Liga,(SOC),Mikel Oyarzabal,36,1,3247,10,8.89,0.26,62,22,1.81,0.64,2019
326,Spain,La Liga,(SOC),Willian Jose,24,13,2171,11,13.03,0.57,59,19,2.58,0.83,2019
327,Spain,La Liga,(VIL),Gerard Moreno,33,2,2831,18,16.09,0.54,89,34,2.99,1.14,2019
328,Spain,La Liga,(ALA),Lucas Perez,29,5,2673,11,11.25,0.4,48,18,1.71,0.64,2019
329,Spain,La Liga,(BET),Loren Moron,21,15,2222,10,9.12,0.39,52,18,2.22,0.77,2019
330,Spain,La Liga,(BIL),Raul Garcla,33,2,3034,15,12.77,0.4,81,33,2.54,1.03,2019
331,Spain,La Liga,(JUV),Morata ,25,9,2248,12,17.27,0.73,69,30,2.92,1.27,2019
332,Spain,La Liga,(GET),Angel Rodriguez,9,23,1611,10,8.14,0.48,53,23,3.13,1.36,2019
333,Spain,La Liga,(BAR),Lionel Messi,32,1,3067,25,21.63,0.67,159,68,4.93,2.11,2019
334,Spain,La Liga,(RMA),Sergio Ramos,35,0,3100,11,11.09,0.34,39,17,1.2,0.52,2019
335,Spain,La Liga,(SEV),Lucas Ocampos,31,2,2929,14,13.26,0.43,84,36,2.72,1.17,2019
336,Spain,La Liga,Santi,Cazorla ,29,6,2513,11,8.73,0.33,49,24,1.85,0.91,2019
337,Spain,La Liga,(LEV),Roger ,26,10,2436,11,11.54,0.45,57,24,2.22,0.94,2019
338,Spain,La Liga,(GET),Jaime Mata,33,1,2923,11,12.0,0.39,58,23,1.89,0.75,2019
339,Spain,La Liga,(CEL),Iago Aspas,37,0,3474,14,15.72,0.43,84,39,2.3,1.07,2019
520,Spain,La Liga,(SEV),Youssef   En-Nesyri,5,4,465,4,3.33,0.68,14,4,2.86,0.82,2020
521,Spain,La Liga,(SOC),Portu ,6,5,691,4,1.53,0.21,6,4,0.82,0.55,2020
522,Spain,La Liga,(RMA),Karim Benzema,8,0,741,4,4.91,0.63,27,12,3.46,1.54,2020
523,Spain,La Liga,(VAL),Carlos Soler,6,1,599,4,3.34,0.53,8,5,1.27,0.79,2020
524,Spain,La Liga,(BET),Cristian Tello,7,4,629,4,1.92,0.29,22,8,3.32,1.21,2020
525,Spain,La Liga,(SOC),Mikel Oyarzabal,9,2,736,7,6.82,0.88,31,16,4.0,2.07,2020
526,Spain,La Liga,(EIB),Esteban Burgos,6,1,589,3,2.85,0.46,5,4,0.81,0.65,2020
527,Spain,La Liga,(ALA),Lucas Perez,7,2,637,3,4.36,0.65,13,6,1.94,0.89,2020
528,Spain,La Liga,(BAR),Lionel Messi,8,1,824,4,5.46,0.63,39,19,4.5,2.19,2020
529,Spain,La Liga,(ATL),Joao Felix,6,3,641,5,3.85,0.57,21,6,3.11,0.89,2020
530,Spain,La Liga,(ATL),Luis Suarez,5,1,387,5,3.3,0.81,22,8,5.4,1.96,2020
531,Spain,La Liga,(VIL),Paco Alcacer,9,0,693,5,5.11,0.7,16,8,2.19,1.1,2020
532,Spain,La Liga,(LEV),Morales ,10,0,758,4,2.71,0.34,17,8,2.13,1.0,2020
533,Spain,La Liga,(RMA),Federico Valverde,6,2,566,3,1.13,0.19,9,5,1.51,0.84,2020
534,Spain,La Liga,(BAR),Antoine Griezmann,8,1,634,3,3.67,0.55,18,8,2.7,1.2,2020
535,Spain,La Liga,(CEL),Iago Aspas,11,0,1056,5,4.89,0.44,21,12,1.89,1.08,2020
536,Spain,La Liga,(EIB),Kike GarcIa,9,1,790,3,2.83,0.34,19,8,2.28,0.96,2020
537,Spain,La Liga,(GET),Angel Rodriguez,3,6,501,4,2.06,0.39,14,7,2.65,1.33,2020
538,Spain,La Liga,(BAR),Ansu Fati,6,1,451,4,1.8,0.38,14,7,2.95,1.47,2020
539,Spain,La Liga,(VIL),Gerard Moreno,9,0,822,6,6.4,0.74,29,11,3.35,1.27,2020